Year,Month,Day,TAVG,TMAX,TMIN
1869,5,24,65.5,74,57
1869,5,25,71.5,80,63
1869,5,26,76,84,68
1869,5,27,55.5,61,50
1869,5,28,55,58,52
1869,5,29,64,74,54
1869,5,30,63.5,67,60
1869,5,31,71,80,62
1869,6,1,74.5,79,70
1869,6,2,67,70,64
1869,6,3,74.5,83,66
1869,6,4,68,73,63
1869,6,5,74,82,66
1869,6,6,62.5,65,60
1869,6,7,60,65,55
1869,6,8,56,57,55
1869,6,9,60,64,56
1869,6,10,56,58,54
1869,6,11,62.5,68,57
1869,6,12,64,69,59
1869,6,13,69.5,74,65
1869,6,14,71.5,76,67
1869,6,15,67.5,69,66
1869,6,16,64.5,68,61
1869,6,17,68,74,62
1869,6,18,73.5,78,69
1869,6,19,77,82,72
1869,6,20,73,78,68
1869,6,21,76,82,70
1869,6,22,62,63,61
1869,6,23,68.5,72,65
1869,6,24,73,77,69
1869,6,25,74,79,69
1869,6,26,76.5,80,73
1869,6,27,76.5,81,72
1869,6,28,77.5,87,68
1869,6,29,76.5,82,71
1869,6,30,74.5,78,71
1869,7,1,65,68,62
1869,7,2,70,76,64
1869,7,3,77,84,70
1869,7,4,77.5,83,72
1869,7,5,69,73,65
1869,7,6,70,74,66
1869,7,7,69,75,63
1869,7,8,73,80,66
1869,7,9,69,72,66
1869,7,10,76,82,70
1869,7,11,80.5,88,73
1869,7,12,71,76,66
1869,7,13,75,80,70
1869,7,14,65.5,66,65
1869,7,15,76.5,82,71
1869,7,16,85,92,78
1869,7,17,80.5,84,77
1869,7,18,74,76,72
1869,7,19,71,72,70
1869,7,20,67.5,68,67
1869,7,21,73.5,80,67
1869,7,22,66.5,71,62
1869,7,23,70.5,75,66
1869,7,24,71.5,80,63
1869,7,25,76.5,81,72
1869,7,26,74.5,76,73
1869,7,27,79.5,84,75
1869,7,28,76.5,82,71
1869,7,29,74.5,78,71
1869,7,30,68,74,62
1869,7,31,70,76,64
1869,8,1,72.5,78,67
1869,8,2,70.5,76,65
1869,8,3,79,84,74
1869,8,4,73.5,78,69
1869,8,5,69.5,72,67
1869,8,6,61.5,67,56
1869,8,7,62.5,67,58
1869,8,8,66,75,57
1869,8,9,70.5,77,64
1869,8,10,72.5,80,65
1869,8,11,75,83,67
1869,8,12,75.5,81,70
1869,8,13,73.5,77,70
1869,8,14,73.5,79,68
1869,8,15,76,81,71
1869,8,16,72.5,76,69
1869,8,17,64.5,67,62
1869,8,18,67.5,72,63
1869,8,19,74.5,82,67
1869,8,20,82.5,93,72
1869,8,21,85.5,95,76
1869,8,22,70,72,68
1869,8,23,70,74,66
1869,8,24,71.5,77,66
1869,8,25,72.5,78,67
1869,8,26,73.5,79,68
1869,8,27,69.5,75,64
1869,8,28,80,82,78
1869,8,29,75,78,72
1869,8,30,65.5,69,62
1869,8,31,62.5,67,58
1869,9,1,55,59,51
1869,9,2,58.5,62,55
1869,9,3,64,71,57
1869,9,4,71.5,78,65
1869,9,5,70.5,78,63
1869,9,6,70.5,76,65
1869,9,7,75.5,79,72
1869,9,8,75,76,74
1869,9,9,66,68,64
1869,9,10,62.5,68,57
1869,9,11,64.5,71,58
1869,9,12,66,73,59
1869,9,13,70.5,77,64
1869,9,14,68.5,73,64
1869,9,15,66.5,72,61
1869,9,16,69.5,76,63
1869,9,17,65.5,66,65
1869,9,18,64,66,62
1869,9,19,69,75,63
1869,9,20,76.5,86,67
1869,9,21,69,73,65
1869,9,22,62,63,61
1869,9,23,65,68,62
1869,9,24,66,71,61
1869,9,25,67,71,63
1869,9,26,65,71,59
1869,9,27,53,56,50
1869,9,28,51,56,46
1869,9,29,58,65,51
1869,9,30,62.5,70,55
1869,10,1,64.5,74,55
1869,10,2,62.5,70,55
1869,10,3,66.5,71,62
1869,10,4,62,70,54
1869,10,5,54.5,59,50
1869,10,6,53.5,61,46
1869,10,7,55.5,63,48
1869,10,8,61.5,70,53
1869,10,9,59,66,52
1869,10,10,63.5,69,58
1869,10,11,58,63,53
1869,10,12,58.5,64,53
1869,10,13,55,64,46
1869,10,14,50,58,42
1869,10,15,56,61,51
1869,10,16,48.5,53,44
1869,10,17,49.5,59,40
1869,10,18,49,53,45
1869,10,19,45,49,41
1869,10,20,42.5,48,37
1869,10,21,45,52,38
1869,10,22,48,58,38
1869,10,23,54.5,62,47
1869,10,31,36.5,41,32
1869,11,1,35.5,41,30
1869,11,2,44,50,38
1869,11,3,46,52,40
1869,11,4,51.5,61,42
1869,11,5,50,53,47
1869,11,6,45,48,42
1869,11,7,37,43,31
1869,11,8,35,39,31
1869,11,9,39.5,44,35
1869,11,10,36,41,31
1869,11,11,38.5,43,34
1869,11,12,39.5,43,36
1869,11,13,41.5,46,37
1869,11,14,37.5,40,35
1869,11,15,35,37,33
1869,11,16,37,42,32
1869,11,17,47,58,36
1869,11,18,39.5,42,37
1869,11,19,43,52,34
1869,11,20,49.5,56,43
1869,11,21,39.5,44,35
1869,11,22,37.5,43,32
1869,11,23,44.5,47,42
1869,11,24,37,45,29
1869,11,25,31,36,26
1869,11,26,34,40,28
1869,11,27,40,43,37
1869,11,28,37,40,34
1869,11,29,39,45,33
1869,11,30,51,57,45
1869,12,1,47.5,62,33
1869,12,2,28.5,33,24
1869,12,3,22.5,29,16
1869,12,4,26,37,15
1869,12,5,37,39,35
1869,12,6,27.5,34,21
1869,12,7,20,26,14
1869,12,8,28,34,22
1869,12,9,32,39,25
1869,12,10,30.5,44,17
1869,12,11,35,45,25
1869,12,12,37,42,32
1869,12,13,36,42,30
1869,12,14,29,32,26
1869,12,15,30,36,24
1869,12,16,43,49,37
1869,12,17,38.5,42,35
1869,12,18,38.5,44,33
1869,12,19,34.5,37,32
1869,12,20,30.5,33,28
1869,12,21,32,37,27
1869,12,22,43.5,56,31
1869,12,23,38.5,48,29
1869,12,24,31.5,36,27
1869,12,25,32.5,36,29
1869,12,26,40.5,47,34
1869,12,27,43.5,46,41
1869,12,28,44.5,49,40
1869,12,29,38.5,40,37
1869,12,30,40.5,46,35
1869,12,31,41.5,46,37
1870,1,1,38.5,43,34
1870,1,2,46,54,38
1870,1,3,38,41,35
1870,1,4,32,35,29
1870,1,5,30.5,34,27
1870,1,6,37.5,44,31
1870,1,7,30.5,35,26
1870,1,8,26,34,18
1870,1,9,22.5,28,17
1870,1,10,31.5,37,26
1870,1,11,38,46,30
1870,1,12,46,50,42
1870,1,13,41.5,52,31
1870,1,14,24,30,18
1870,1,15,39.5,49,30
1870,1,16,42,46,38
1870,1,17,46.5,56,37
1870,1,18,42,48,36
1870,1,19,36,42,30
1870,1,20,36.5,45,28
1870,1,21,38,44,32
1870,1,22,37.5,44,31
1870,1,23,51,58,44
1870,1,24,42,49,35
1870,1,25,42,48,36
1870,1,26,45,54,36
1870,1,27,43.5,51,36
1870,1,28,36.5,42,31
1870,1,29,36.5,41,32
1870,1,30,40.5,43,38
1870,1,31,32.5,35,30
1870,2,1,29,35,23
1870,2,2,32.5,42,23
1870,2,3,30.5,37,24
1870,2,4,21.5,25,18
1870,2,5,26,31,21
1870,2,6,31,35,27
1870,2,7,33.5,39,28
1870,2,8,30,32,28
1870,2,9,30.5,34,27
1870,2,10,32,37,27
1870,2,11,30,37,23
1870,2,12,38,46,30
1870,2,13,29.5,35,24
1870,2,14,35.5,47,24
1870,2,15,41,47,35
1870,2,16,37.5,43,32
1870,2,17,38,46,30
1870,2,18,42,52,32
1870,2,19,29.5,33,26
1870,2,20,36.5,46,27
1870,2,21,14.5,17,12
1870,2,22,16,22,10
1870,2,23,28.5,38,19
1870,2,24,24.5,33,16
1870,2,25,22,31,13
1870,2,26,32,37,27
1870,2,27,30.5,33,28
1870,2,28,32,38,26
1870,3,1,34,36,32
1870,3,2,27.5,32,23
1870,3,3,27.5,33,22
1870,3,4,24.5,30,19
1870,3,5,26.5,30,23
1870,3,6,28.5,36,21
1870,3,7,30.5,32,29
1870,3,8,31,34,28
1870,3,9,30,35,25
1870,3,10,33,40,26
1870,3,11,28.5,31,26
1870,3,12,28,31,25
1870,3,13,27,29,25
1870,3,14,32.5,38,27
1870,3,15,36,44,28
1870,3,16,33,42,24
1870,3,17,25,31,19
1870,3,18,34,38,30
1870,3,19,36.5,45,28
1870,3,20,41,49,33
1870,3,21,47,56,38
1870,3,22,44,49,39
1870,3,23,35,39,31
1870,3,24,35.5,41,30
1870,3,25,35.5,44,27
1870,3,26,35.5,43,28
1870,3,27,41.5,47,36
1870,3,28,43.5,47,40
1870,3,29,44,49,39
1870,3,30,45,50,40
1870,3,31,46.5,51,42
1870,4,1,46,51,41
1870,4,2,41.5,46,37
1870,4,3,42.5,46,39
1870,4,4,34.5,35,34
1870,4,5,36.5,38,35
1870,4,6,41.5,47,36
1870,4,7,46.5,52,41
1870,4,8,52,60,44
1870,4,9,56,63,49
1870,4,10,52,60,44
1870,4,11,46,48,44
1870,4,12,55,64,46
1870,4,13,56.5,68,45
1870,4,14,64.5,73,56
1870,4,15,67.5,74,61
1870,4,16,45,50,40
1870,4,17,44.5,49,40
1870,4,18,50.5,56,45
1870,4,19,45.5,50,41
1870,4,20,50,56,44
1870,4,21,50.5,57,44
1870,4,22,52,63,41
1870,4,23,52.5,58,47
1870,4,24,55,65,45
1870,4,25,51.5,56,47
1870,4,26,56.5,69,44
1870,4,27,63.5,76,51
1870,4,28,66,80,52
1870,4,29,50.5,53,48
1870,4,30,55.5,63,48
1870,5,1,59,69,49
1870,5,2,62.5,71,54
1870,5,3,58.5,64,53
1870,5,4,67,80,54
1870,5,5,55.5,61,50
1870,5,6,58.5,65,52
1870,5,7,56,60,52
1870,5,8,52.5,56,49
1870,5,9,53.5,57,50
1870,5,10,48.5,50,47
1870,5,11,48,50,46
1870,5,12,57,67,47
1870,5,13,61,69,53
1870,5,14,67,79,55
1870,5,15,73.5,84,63
1870,5,16,74.5,86,63
1870,5,17,58,63,53
1870,5,18,57.5,64,51
1870,5,19,65,75,55
1870,5,20,70,78,62
1870,5,21,68,76,60
1870,5,22,61.5,70,53
1870,5,23,60.5,68,53
1870,5,24,68,75,61
1870,5,25,70.5,79,62
1870,5,26,63.5,70,57
1870,5,27,55,59,51
1870,5,28,55,60,50
1870,5,29,59,61,57
1870,5,30,60.5,64,57
1870,5,31,63,71,55
1870,6,1,65.5,70,61
1870,6,2,68.5,74,63
1870,6,3,64.5,69,60
1870,6,4,70,79,61
1870,6,5,69.5,77,62
1870,6,6,73,82,64
1870,6,7,69.5,74,65
1870,6,8,75.5,84,67
1870,6,9,68.5,72,65
1870,6,10,59,61,57
1870,6,11,60.5,65,56
1870,6,12,67,76,58
1870,6,13,67.5,74,61
1870,6,14,73.5,80,67
1870,6,15,74.5,81,68
1870,6,16,75.5,81,70
1870,6,17,72.5,78,67
1870,6,18,78.5,89,68
1870,6,19,79.5,85,74
1870,6,20,78.5,88,69
1870,6,21,66.5,72,61
1870,6,22,67,77,57
1870,6,23,77,85,69
1870,6,24,82.5,91,74
1870,6,25,84.5,94,75
1870,6,26,77.5,86,69
1870,6,27,76.5,85,68
1870,6,28,84,94,74
1870,6,29,83.5,90,77
1870,6,30,80.5,88,73
1870,7,1,72,81,63
1870,7,2,67.5,73,62
1870,7,3,61.5,64,59
1870,7,4,67.5,75,60
1870,7,5,70,77,63
1870,7,6,75,80,70
1870,7,7,74.5,78,71
1870,7,8,70,76,64
1870,7,9,71,80,62
1870,7,10,74,81,67
1870,7,11,78,86,70
1870,7,12,79.5,88,71
1870,7,13,78.5,87,70
1870,7,14,80.5,88,73
1870,7,15,77.5,83,72
1870,7,16,79.5,87,72
1870,7,17,87.5,93,82
1870,7,18,84.5,92,77
1870,7,19,83.5,90,77
1870,7,20,75.5,81,70
1870,7,21,81,89,73
1870,7,22,79,88,70
1870,7,23,83,92,74
1870,7,24,84.5,91,78
1870,7,25,85.5,93,78
1870,7,26,85,92,78
1870,7,27,75.5,82,69
1870,7,28,75.5,83,68
1870,7,29,80.5,86,75
1870,7,30,73,79,67
1870,7,31,75,81,69
1870,8,1,76.5,82,71
1870,8,2,79,86,72
1870,8,3,78.5,85,72
1870,8,4,76.5,81,72
1870,8,5,75.5,83,68
1870,8,6,82.5,88,77
1870,8,7,82,89,75
1870,8,8,79.5,85,74
1870,8,9,80.5,86,75
1870,8,10,80,85,75
1870,8,11,78.5,82,75
1870,8,12,80.5,88,73
1870,8,13,73,82,64
1870,8,14,65.5,71,60
1870,8,15,70,79,61
1870,8,16,72.5,79,66
1870,8,17,74.5,82,67
1870,8,18,76.5,87,66
1870,8,19,79.5,87,72
1870,8,20,78,86,70
1870,8,21,72.5,80,65
1870,8,22,70,77,63
1870,8,23,69.5,75,64
1870,8,24,71.5,75,68
1870,8,25,80.5,90,71
1870,8,26,69.5,77,62
1870,8,27,66,74,58
1870,8,28,67,73,61
1870,8,29,77,86,68
1870,8,30,74,80,68
1870,8,31,71,78,64
1870,9,1,73,83,63
1870,9,2,74,83,65
1870,9,3,73,80,66
1870,9,4,72,80,64
1870,9,5,67.5,73,62
1870,9,6,66.5,74,59
1870,9,7,69,78,60
1870,9,8,65.5,71,60
1870,9,9,63.5,68,59
1870,9,10,67.5,75,60
1870,9,11,61,69,53
1870,9,12,63.5,75,52
1870,9,13,65.5,76,55
1870,9,14,69,81,57
1870,9,15,68,76,60
1870,9,16,72,78,66
1870,9,17,66,69,63
1870,9,18,69,75,63
1870,9,19,64,69,59
1870,9,20,64,74,54
1870,9,21,65.5,73,58
1870,9,22,62.5,72,53
1870,9,23,68.5,80,57
1870,9,24,74.5,85,64
1870,9,25,76.5,85,68
1870,9,26,69,75,63
1870,9,27,70,77,63
1870,9,28,69.5,77,62
1870,9,29,68,72,64
1870,9,30,66.5,70,63
1870,10,1,69.5,76,63
1870,10,2,62.5,65,60
1870,10,3,60.5,62,59
1870,10,4,65.5,72,59
1870,10,5,61.5,68,55
1870,10,6,55.5,59,52
1870,10,7,52,55,49
1870,10,8,56.5,63,50
1870,10,9,59.5,70,49
1870,10,10,60,70,50
1870,10,11,60.5,67,54
1870,10,12,66,70,62
1870,10,13,58,64,52
1870,10,14,57,64,50
1870,10,15,59,67,51
1870,10,16,62,71,53
1870,10,17,61,68,54
1870,10,18,55,65,45
1870,10,19,48,54,42
1870,10,20,58.5,66,51
1870,10,21,51,55,47
1870,10,22,54,61,47
1870,10,23,53.5,61,46
1870,10,24,56.5,63,50
1870,10,25,59.5,68,51
1870,10,26,49.5,61,38
1870,10,27,44.5,56,33
1870,10,28,53.5,59,48
1870,10,29,46,52,40
1870,10,30,43,51,35
1870,10,31,53.5,59,48
1870,11,1,50,56,44
1870,11,2,54.5,62,47
1870,11,3,53.5,61,46
1870,11,4,50.5,60,41
1870,11,5,51.5,56,47
1870,11,6,43.5,49,38
1870,11,7,47,54,40
1870,11,8,48,58,38
1870,11,9,55,67,43
1870,11,10,41,45,37
1870,11,11,43.5,53,34
1870,11,12,49.5,58,41
1870,11,13,49,55,43
1870,11,14,46.5,53,40
1870,11,15,41,45,37
1870,11,16,38.5,47,30
1870,11,17,41.5,46,37
1870,11,18,41,46,36
1870,11,19,31.5,34,29
1870,11,20,36.5,43,30
1870,11,21,44.5,50,39
1870,11,22,41,46,36
1870,11,23,45,50,40
1870,11,24,40,44,36
1870,11,25,42,47,37
1870,11,26,44,49,39
1870,11,27,51,62,40
1870,11,28,52,60,44
1870,11,29,54,65,43
1870,11,30,43.5,49,38
1870,12,1,42,51,33
1870,12,2,46.5,54,39
1870,12,3,44,47,41
1870,12,4,48.5,57,40
1870,12,5,49,55,43
1870,12,6,45,49,41
1870,12,7,41.5,45,38
1870,12,8,41.5,46,37
1870,12,9,38,42,34
1870,12,10,36.5,42,31
1870,12,11,34.5,41,28
1870,12,12,46.5,52,41
1870,12,13,46.5,49,44
1870,12,14,41,44,38
1870,12,15,33.5,38,29
1870,12,16,28,32,24
1870,12,17,29,33,25
1870,12,18,33.5,38,29
1870,12,19,34.5,42,27
1870,12,20,40,44,36
1870,12,21,28.5,38,19
1870,12,22,22,27,17
1870,12,23,20.5,24,17
1870,12,24,19.5,24,15
1870,12,25,20,25,15
1870,12,26,26.5,31,22
1870,12,27,24.5,30,19
1870,12,28,26.5,32,21
1870,12,29,17.5,23,12
1870,12,30,20,30,10
1870,12,31,35.5,42,29
1871,1,1,34.5,39,30
1871,1,2,36.5,42,31
1871,1,3,30.5,35,26
1871,1,4,25,30,20
1871,1,5,35.5,48,23
1871,1,6,40,48,32
1871,1,7,26,32,20
1871,1,8,17.5,21,14
1871,1,9,13.5,18,9
1871,1,10,13.5,24,3
1871,1,11,27,34,20
1871,1,12,41,50,32
1871,1,13,40,46,34
1871,1,14,39.5,45,34
1871,1,15,39,40,38
1871,1,16,47,51,43
1871,1,17,31.5,37,26
1871,1,18,31,33,29
1871,1,19,25.5,31,20
1871,1,20,30,36,24
1871,1,21,38.5,45,32
1871,1,22,24.5,38,11
1871,1,23,5.5,11,0
1871,1,24,12.5,20,5
1871,1,25,16.5,23,10
1871,1,26,8,14,2
1871,1,27,22,31,13
1871,1,28,22,25,19
1871,1,29,28,36,20
1871,1,30,35,42,28
1871,1,31,33.5,40,27
1871,2,1,40.5,46,35
1871,2,2,32.5,41,24
1871,2,3,36.5,39,34
1871,2,4,24,39,9
1871,2,5,6.5,11,2
1871,2,6,8,16,0
1871,2,7,20,30,10
1871,2,8,27,32,22
1871,2,9,40,48,32
1871,2,10,30.5,38,23
1871,2,11,25.5,31,20
1871,2,12,22.5,23,22
1871,2,13,25.5,28,23
1871,2,14,21.5,24,19
1871,2,15,30,36,24
1871,2,16,36,43,29
1871,2,17,36,42,30
1871,2,18,44.5,49,40
1871,2,19,33,40,26
1871,2,20,40,45,35
1871,2,21,30.5,42,19
1871,2,22,21,31,11
1871,2,23,27.5,40,15
1871,2,24,39,47,31
1871,2,25,47.5,53,42
1871,2,26,40.5,48,33
1871,2,27,40,46,34
1871,2,28,33.5,40,27
1871,3,1,48.5,59,38
1871,3,2,44,52,36
1871,3,3,49.5,63,36
1871,3,4,38,42,34
1871,3,5,42.5,53,32
1871,3,6,44.5,49,40
1871,3,7,44.5,52,37
1871,3,8,39.5,47,32
1871,3,9,50,60,40
1871,3,10,55,62,48
1871,3,11,47.5,55,40
1871,3,12,47,54,40
1871,3,13,44.5,53,36
1871,3,14,43.5,51,36
1871,3,15,39,44,34
1871,3,16,38,39,37
1871,3,17,44.5,52,37
1871,3,18,47,53,41
1871,3,19,53.5,65,42
1871,3,20,41.5,47,36
1871,3,21,43,49,37
1871,3,22,47.5,56,39
1871,3,23,45.5,54,37
1871,3,24,40,47,33
1871,3,25,40.5,48,33
1871,3,26,41,49,33
1871,3,27,39,45,33
1871,3,28,35.5,39,32
1871,3,29,41,51,31
1871,3,30,45.5,50,41
1871,3,31,46,52,40
1871,4,1,37.5,41,34
1871,4,2,40,47,33
1871,4,3,45,52,38
1871,4,4,51.5,62,41
1871,4,5,46,55,37
1871,4,6,45,57,33
1871,4,7,52,61,43
1871,4,8,65.5,85,46
1871,4,9,72.5,83,62
1871,4,10,67.5,80,55
1871,4,11,54.5,64,45
1871,4,12,51.5,58,45
1871,4,13,55.5,64,47
1871,4,14,51.5,60,43
1871,4,15,52,61,43
1871,4,16,48,56,40
1871,4,17,44.5,54,35
1871,4,18,51.5,63,40
1871,4,19,53,57,49
1871,4,20,54.5,63,46
1871,4,21,62,70,54
1871,4,22,52,57,47
1871,4,23,49,55,43
1871,4,24,52,62,42
1871,4,25,55.5,66,45
1871,4,26,60,69,51
1871,4,27,45,48,42
1871,4,28,46.5,51,42
1871,4,29,55,63,47
1871,4,30,61.5,71,52
1871,5,1,58,65,51
1871,5,2,60,70,50
1871,5,3,54,60,48
1871,5,4,46.5,48,45
1871,5,5,46.5,49,44
1871,5,6,49.5,54,45
1871,5,7,53,60,46
1871,5,8,49,56,42
1871,5,9,50,54,46
1871,5,10,53.5,63,44
1871,5,11,53,63,43
1871,5,12,58,68,48
1871,5,13,59.5,73,46
1871,5,14,51.5,62,41
1871,5,15,58.5,68,49
1871,5,16,59,69,49
1871,5,17,61,70,52
1871,5,18,58,70,46
1871,5,19,63.5,77,50
1871,5,20,68.5,78,59
1871,5,21,66.5,76,57
1871,5,22,66,75,57
1871,5,23,63.5,71,56
1871,5,24,63,75,51
1871,5,25,64,76,52
1871,5,26,75,85,65
1871,5,27,71.5,83,60
1871,5,28,65.5,74,57
1871,5,29,71.5,83,60
1871,5,30,80.5,92,69
1871,5,31,71.5,81,62
1871,6,1,68.5,75,62
1871,6,2,69.5,80,59
1871,6,3,79,90,68
1871,6,4,77.5,90,65
1871,6,5,75,86,64
1871,6,6,68,77,59
1871,6,7,74.5,82,67
1871,6,8,74.5,79,70
1871,6,9,66.5,74,59
1871,6,10,64,73,55
1871,6,11,71,78,64
1871,6,12,70.5,72,69
1871,6,13,70,81,59
1871,6,14,66,76,56
1871,6,15,66,73,59
1871,6,16,63,71,55
1871,6,17,63,72,54
1871,6,18,67,73,61
1871,6,19,68.5,79,58
1871,6,20,75,87,63
1871,6,21,65.5,74,57
1871,6,22,65.5,74,57
1871,6,23,71.5,80,63
1871,6,24,64.5,71,58
1871,6,25,66.5,76,57
1871,6,26,70,81,59
1871,6,27,69,71,67
1871,6,28,72.5,80,65
1871,6,29,66,74,58
1871,6,30,64,74,54
1871,7,1,63.5,70,57
1871,7,2,71.5,80,63
1871,7,3,72.5,77,68
1871,7,4,72.5,80,65
1871,7,5,77,85,69
1871,7,6,77,84,70
1871,7,7,77.5,85,70
1871,7,8,74,84,64
1871,7,9,78,88,68
1871,7,10,79,87,71
1871,7,11,78,86,70
1871,7,12,80.5,89,72
1871,7,13,81.5,91,72
1871,7,14,78.5,87,70
1871,7,15,78,86,70
1871,7,16,74.5,85,64
1871,7,17,72.5,78,67
1871,7,18,70.5,80,61
1871,7,19,68.5,71,66
1871,7,20,68,76,60
1871,7,21,68,74,62
1871,7,22,65,72,58
1871,7,23,69,80,58
1871,7,24,68.5,77,60
1871,7,25,64.5,69,60
1871,7,26,68,75,61
1871,7,27,74.5,83,66
1871,7,28,74.5,82,67
1871,7,29,69,72,66
1871,7,30,74,81,67
1871,7,31,71,77,65
1871,8,1,74,83,65
1871,8,2,74.5,84,65
1871,8,3,77.5,87,68
1871,8,4,78,84,72
1871,8,5,79.5,88,71
1871,8,6,79,89,69
1871,8,7,78,86,70
1871,8,8,79,84,74
1871,8,9,75.5,81,70
1871,8,10,72.5,81,64
1871,8,11,73,83,63
1871,8,12,78,88,68
1871,8,13,73.5,80,67
1871,8,14,72.5,76,69
1871,8,15,79,85,73
1871,8,16,80.5,89,72
1871,8,17,74.5,78,71
1871,8,18,74,84,64
1871,8,19,68.5,74,63
1871,8,20,66,76,56
1871,8,21,70.5,78,63
1871,8,22,67.5,72,63
1871,8,23,65,72,58
1871,8,24,77.5,84,71
1871,8,25,73,77,69
1871,8,26,76,83,69
1871,8,27,80,89,71
1871,8,28,74.5,80,69
1871,8,29,76.5,83,70
1871,8,30,71,75,67
1871,8,31,68,74,62
1871,9,1,65,72,58
1871,9,2,68.5,78,59
1871,9,3,70.5,82,59
1871,9,4,71.5,79,64
1871,9,5,73,83,63
1871,9,6,74,83,65
1871,9,7,65.5,72,59
1871,9,8,58.5,65,52
1871,9,9,62.5,72,53
1871,9,10,67.5,77,58
1871,9,11,63,70,56
1871,9,12,64,69,59
1871,9,13,65,68,62
1871,9,14,57,62,52
1871,9,15,57,62,52
1871,9,16,61.5,68,55
1871,9,17,63,72,54
1871,9,18,54,62,46
1871,9,19,58,66,50
1871,9,20,54,63,45
1871,9,21,48,56,40
1871,9,22,52,62,42
1871,9,23,58.5,71,46
1871,9,24,67,77,57
1871,9,25,61,67,55
1871,9,26,58,64,52
1871,9,27,55.5,64,47
1871,9,28,53.5,60,47
1871,9,29,50,56,44
1871,9,30,51.5,61,42
1871,10,1,55,65,45
1871,10,2,63,74,52
1871,10,3,56.5,62,51
1871,10,4,62,69,55
1871,10,5,60.5,70,51
1871,10,6,64.5,70,59
1871,10,7,55.5,64,47
1871,10,8,54.5,66,43
1871,10,9,62.5,75,50
1871,10,10,63.5,70,57
1871,10,11,63.5,70,57
1871,10,12,52.5,57,48
